,kl_global,kl_adapted,delta,n
56450,0.2634282608826955,0.2508977949619293,0.012530465920766176,80.0
40364,1.0009111166000366,1.0347347259521484,-0.033823609352111816,3.0
59508,0.6972412467002869,0.5190655589103699,0.178175687789917,6.0
19638,0.750139594078064,0.7012706696987152,0.048868924379348755,34.0
5955,0.3275810480117798,0.2736737132072449,0.05390733480453491,20.0
51975,0.3334682583808899,0.3624630570411682,-0.02899479866027832,14.0
61621,0.5589533746242523,0.5312046110630035,0.02774876356124878,37.0
4814,0.4526568055152893,0.45623788237571716,-0.0035810768604278564,15.0
28488,0.6464522480964661,0.5991690158843994,0.04728323221206665,22.0
13133,0.309978187084198,0.3331402838230133,-0.023162096738815308,28.0
29817,0.9717985391616821,0.7854223251342773,0.18637621402740479,8.0
15761,2.0074825286865234,2.2802047729492188,-0.2727222442626953,3.0
31553,0.5885764956474304,0.6534293293952942,-0.06485283374786377,15.0
26177,0.4269108474254608,0.4568173289299011,-0.029906481504440308,22.0
41114,0.2540268003940582,0.24601984024047852,0.008006960153579712,17.0
22655,0.4360710680484772,0.4426911771297455,-0.0066201090812683105,28.0
43306,1.0555192232131958,1.2013708353042603,-0.14585161209106445,3.0
31142,0.40949293971061707,0.272495299577713,0.13699764013290405,4.0
17408,0.5794576928019524,0.5852084644138813,-0.00575077161192894,32.0
23828,0.3167074918746948,0.35147687792778015,-0.03476938605308533,6.0
54724,1.1756746768951416,1.0094212293624878,0.1662534475326538,17.0
40827,0.8646499514579773,0.5722975134849548,0.29235243797302246,9.0
14386,0.7751976549625397,0.45871198177337646,0.3164856731891632,52.0
55803,0.39380067586898804,0.38431674242019653,0.009483933448791504,4.0
31019,0.08191747218370438,0.07935622334480286,0.0025612488389015198,7.0
43059,0.398570716381073,0.356123149394989,0.042447566986083984,16.0
48272,0.15437276661396027,0.13805416226387024,0.016318604350090027,27.0
17637,0.2636004686355591,0.1674550324678421,0.09614543616771698,5.0
52234,0.7124364972114563,0.6648924350738525,0.04754406213760376,13.0
13329,0.4463798999786377,0.5673275589942932,-0.12094765901565552,17.0
29534,4.046876907348633,4.105536937713623,-0.058660030364990234,4.0
53730,0.439037948846817,0.46361953020095825,-0.024581581354141235,17.0
51140,3.0572354793548584,3.381397247314453,-0.3241617679595947,4.0
65250,0.5930500030517578,0.4272000789642334,0.16584992408752441,21.0
7424,0.26882416009902954,0.20832312107086182,0.060501039028167725,10.0
32068,0.6535114347934723,0.792994886636734,-0.13948345184326172,48.0
17716,0.561827540397644,0.6142805814743042,-0.052453041076660156,3.0
50295,0.610776424407959,0.6321713924407959,-0.021394968032836914,29.0
655,0.7203369140625,0.7813246846199036,-0.060987770557403564,16.0
17089,0.8920009136199951,0.7902489900588989,0.10175192356109619,8.0
27226,2.8460538387298584,2.7582685947418213,0.08778524398803711,3.0
29167,1.3387010097503662,0.7168338298797607,0.6218671798706055,4.0
6284,0.34801799058914185,0.33596476912498474,0.012053221464157104,24.0
36534,0.44097891449928284,0.4718684256076813,-0.030889511108398438,20.0
35627,0.3738875538110733,0.36752686897913617,0.006360684831937136,72.0
59230,0.1461057960987091,0.1631266325712204,-0.01702083647251129,15.0
55021,0.6548080742359161,0.5147518366575241,0.14005623757839203,41.0
63162,1.3997851610183716,1.2427854537963867,0.15699970722198486,7.0
65356,0.8138512969017029,0.7366623878479004,0.07718890905380249,14.0
24345,0.2895316183567047,0.2959457039833069,-0.006414085626602173,12.0
2641,0.3559506982564926,0.31728826463222504,0.03866243362426758,44.0
32316,0.626744270324707,0.6477662920951843,-0.021022021770477295,25.0
56583,0.45543813705444336,0.43744033575057983,0.017997801303863525,23.0
38697,0.33901581168174744,0.3998144865036011,-0.06079867482185364,16.0
28330,0.3822231963276863,0.39798473194241524,-0.015761535614728928,112.0
51590,1.1993741989135742,0.9504725933074951,0.2489016056060791,14.0
16787,0.1080542802810669,0.1208629310131073,-0.012808650732040405,12.0
7797,0.23585674166679382,0.21311460435390472,0.0227421373128891,5.0
16900,0.8934675455093384,0.8251498937606812,0.06831765174865723,5.0
30497,0.1627780795097351,0.1619783341884613,0.0007997453212738037,5.0
45983,0.19421669840812683,0.16657081246376038,0.027645885944366455,24.0
59059,0.297561377286911,0.30641740560531616,-0.008856028318405151,12.0
56652,0.40064167976379395,0.34512943029403687,0.05551224946975708,20.0
37094,0.5102129578590393,0.6349829435348511,-0.12476998567581177,30.0
4572,0.1998109519481659,0.19799579679965973,0.0018151551485061646,13.0
37962,0.15078961662948132,0.13105586171150208,0.01973375491797924,36.0
43061,2.7899651527404785,2.8795275688171387,-0.08956241607666016,6.0
59216,0.7584502696990967,0.82420814037323,-0.0657578706741333,3.0
14965,0.5348381996154785,0.5640949904918671,-0.02925679087638855,38.0
44623,0.6006600260734558,0.6216531991958618,-0.020993173122406006,4.0
38549,0.2900018095970154,0.3118896186351776,-0.02188780903816223,54.0
49448,0.3249528408050537,0.29276522994041443,0.03218761086463928,9.0
29007,0.7531207799911499,0.6372236609458923,0.11589711904525757,24.0
5512,0.8568148016929626,0.6829420328140259,0.17387276887893677,25.0
65002,0.6596790552139282,0.47050267457962036,0.18917638063430786,12.0
60145,0.5544060468673706,0.590635359287262,-0.03622931241989136,14.0
64445,0.2071477472782135,0.27479422092437744,-0.06764647364616394,16.0
3607,0.1000402569770813,0.07460330426692963,0.025436952710151672,5.0
18699,0.7821698784828186,0.7879317402839661,-0.005761861801147461,24.0
43103,1.8426003456115723,1.9466512203216553,-0.10405087471008301,4.0
53544,0.782040536403656,0.8442835211753845,-0.062242984771728516,16.0
46318,0.6722700595855713,0.5615251660346985,0.1107448935508728,4.0
61761,0.48073989152908325,0.45340657234191895,0.027333319187164307,24.0
34298,0.5038925409317017,0.543538510799408,-0.0396459698677063,30.0
37778,0.013413902372121811,0.023346485570073128,-0.009932583197951317,4.0
